item_number,n,Manufacturer,Manufacturer Item Num
"BEL15-10009Z",1,"MURATA","DEBF33D103ZA2B"
"BEL15-10009Z",2,"MURATA","DEBF33D103ZA3B"
"BEL15-10041Z",1,"Panasonic Corp.","EEEHA1H470XP"
"BEL15-20112Z",1,"AVX","1812SC103KAT1A"
"BEL15-20112Z",2,"Yageo","CC1812KKX7RDBB103"
"BEL15-10085Z",1,"KEMET","T491A226M010AT"
"BEL15-10085Z",2,"AVX","TCJA226M010R0300"
"BEL15-10086Z",1,"KEMET","T491A106M016AT"
"BEL15-10086Z",2,"AVX","TAJA106K016RNJ"
"BEL15-10087Z",1,"KEMET","T491A225K016AT"
"BEL15-10087Z",2,"AVX","TAJA225K016R"
"BEL15-10087Z",3,"AVX","TAJA225K016RNJ"
"BEL15-10088Z",1,"KEMET","T491A475K016AT"
"BEL15-10088Z",2,"AVX","TAJA475M016RNJ"
"BEL15-20096Z",1,"KEMET","T491B476M010AT"
"BEL15-20096Z",2,"AVX","TCJB476M010R0070"
"BEL15-30018Z",1,"AVX","06035A100KAT2A"
"BEL15-30018Z",2,"KEMET","C0603C100J5GACTU"
"BEL15-30019Z",1,"AVX","06035C102JAZ2A"
"BEL15-30019Z",2,"KEMET","C0603C102K5RACTU"
"BEL15-30020Z",1,"AVX","06035C103MAT2A"
"BEL15-30020Z",2,"KEMET","C0603C103M5RACTU"
"BEL15-30021Z",1,"AVX","06035G104ZAT2A"
"BEL16-10002Z",1,"Panasonic Corp.","BR1225A/FA"
"BEL17-10079Z",1,"Vishay","CRCW201010K0FKEF"
"BEL17-10079Z",2,"Panasonic Corp.","ERJ-12SF1002U"
"BEL17-30005Z",1,"Vishay","CRCW060382R5FKEA"
"BEL17-30006Z",1,"Vishay","CRCW060327R0JNEA"
"BEL17-30037Z",1,"Vishay","CRCW060310K0JNEA"
"BEL17-30037Z",2,"KOA Speer","RK73B1JTTD103J"
"BEL17-30042Z",1,"NIC Components Corp.","NTR06F22R1CTRF"
"BEL17-30042Z",2,"Yageo","RT0603FRE0722R1L"
"BEL17-30045Z",1,"KOA Speer","RK73H1JTTD49R9F"
"BEL17-30045Z",2,"Vishay","TNPW060349R9FEEN"
"BEL17-30047Z",1,"NIC Components Corp.","NTR06F75R0CTRF"
"BEL17-30047Z",2,"KOA","RK73H1JTTD75R0F"
"BEL17-30052Z",1,"Vishay","CRCW0603100RFKEA"
"BEL17-30052Z",2,"KOA Speer","RK73H1JTTD1000F"
"BEL17-30052Z",3,"Vishay","TNPW0603100R0FEEN"
"BEL17-30054Z",1,"Vishay","CRCW06031R00FKEA"
"BEL17-30054Z",2,"Vishay","TNPW06031R00FEEN"
"BEL17-30068Z",1,"Vishay","CRCW06031K00JNEA"
"BEL17-30068Z",2,"KOA","RK73B1JTTDD102J"
"BEL17-30088Z",1,"KOA","RK73Z1JTTD"
"BEL17-30101Z",1,"Xicon","302-274-RC"
"BEL17-30101Z",2,"KOA Speer","RK73H1JTTD2740F"
"BEL17-30221Z",1,"Vishay","CRCW0603133RFKEA"
"BEL17-30221Z",2,"Vishay","TNPW0603133RFEEN"
"BEL17-30222Z",1,"Vishay","CRCW06031K30FKEA"
"BEL17-30222Z",2,"KOA","RK73H1JTTD1301F"
"BEL17-30232Z",1,"Xicon","301-4.7K-RC"
"BEL17-30232Z",2,"Vishay","CRCW06034K70JNEA"
"BEL17-30232Z",3,"KOA Speer","RK73B1JTTD472J"
"BEL17-30234Z",1,"Vishay","TNPW06031K40FEEN"
"BEL17-31052Z",1,"OLD GNA PART NUMBER","1-18-2078-00-XX"
"BEL17-31052Z",2,"Xicon","302-2K-RC"
"BEL17-31052Z",3,"Vishay","CRCW06032K00FKEA"
"BEL17-31052Z",4,"Vishay","CRCW06032K00FNEA"
"BEL17-31052Z",5,"Panasonic Corp.","ERJ3EKF2001V"
"BEL17-31052Z",6,"KOA","RK73H1JTTD2001F"
"BEL17-31065Z",1,"Xicon","301-2.2K-RC"
"BEL17-31065Z",2,"Vishay","CRCW06032K20JNEA"
"BEL17-31065Z",3,"KOA Speer","RK73B1JTTD222J"
"BEL17-31066Z",1,"Vishay","CRCW060310R0FKEA"
"BEL17-31066Z",2,"KOA Speer","RK73H1JTTD10R0F"
"BEL17-31067Z",1,"Xicon","302-511K-RC"
"BEL17-31067Z",2,"KOA Speer","RK73H1JTTD5113F"
"BEL17-31069Z",1,"Xicon","302-121K-RC"
"BEL17-31069Z",2,"Vishay","CRCW0603121KFKEA"
"BEL17-31069Z",3,"KOA Speer","RK73H1JTTD1213F"
"BEL17-31070Z",1,"Xicon","302-13K-RC"
"BEL17-31070Z",2,"Vishay","CRCW060313K0FKEA"
"BEL17-31070Z",3,"KOA Speer","RK73H1JTTD1302F"
"BEL17-31071Z",1,"Xicon","302-383K-RC"
"BEL17-31071Z",2,"Vishay","CRCW0603383KFKEA"
"BEL17-31071Z",3,"KOA Speer","RK73H1JTTD3833F"
"BEL18-20003Z",1,"CTS","742C083220JP"
"BEL18-20003Z",2,"Panasonic Corp.","EXB-V8V220JV"
"BEL18-20003Z",3,"ROHM","MNR14EOABJ220"
"BEL19-10024Z",1,"Vishay","LL4148-GS08"
"BEL19-10024Z",2,"ROHM","RLS4148"
"BEL19-10041Z",1,"Kingbright Corp.","APA3010CGCK-GX"
"BEL19-10041Z",2,"Kingbright Corp.","APA3010QGC"
"BEL19-10041Z",3,"SunLED","XZVG56W"
"BEL19-10074Z",1,"DIODES INC","S5BC-13F"
"BEL19-10078Z",1,"DIODES INC","BZT52C3V3S"
"BEL19-10079Z",1,"Vishay","VS-15MQ040NPBF"
"BEL19-20004Z",1,"ON Semiconductor Corporation","MBRS340T3G"
"BEL19-20004Z",2,"ON SEMICONDUCTOR","MBRS340T3G"
"BEL19-20005Z",1,"ON Semiconductor Corporation","MURS320T3G"
"BEL30-10007Z",1,"Analog Devices Inc.","ADT75ARZ"
"BEL30-10007Z",2,"Texas Instruments, Inc.","LM75BIM-3/NOPB"
"BEL30-10007Z",3,"Microchip","TCN75AVOA"
"BEL30-10075Z",1,"Tyco Electronics","1462037-4"
"BEL30-10075Z",2,"Tyco Electronics","IM01TS"
"BEL30-10075Z",3,"NEC","UC2-3NJ"
"BEL30-10080Z",1,"Intersil Corp.","ICL3232IBNZ"
"BEL30-10080Z",2,"Texas Instruments, Inc.","MAX3232EID"
"BEL30-10080Z",3,"Maxim Integrated Products, Inc.","MAX3232ESE+T"
"BEL30-10080Z",4,"EXAR","SP3232EEN-L"
"BEL30-10106Z",1,"Intersil Corp.","ISL12026IBZ"
"BEL30-10084Z",1,"Linear Technology","LTC3428EDD#PBF"
"BEL30-10085Z",1,"Philips Semiconductors","PCA9540BD"
"BEL30-10085Z",2,"NXP Semiconductor","PCA9540BD,112"
"BEL30-20059Z",1,"Maxim Integrated Products, Inc.","DS1233AZ-10+"
"BEL30-20072Z",1,"Marvell Semiconductor, Inc.","GT48300A1-BBE1C000"
"BEL30-20123Z",1,"OLD GNA PART NUMBER","1-25-2091-00-XX"
"BEL30-20123Z",2,"Semtech","SC1565IST25TRT"
"BEL30-20074Z",1,"Marvell Semiconductor, Inc.","GT48350A3-PBN1C000"
"BEL30-20119Z",1,"Semtech","SC1565IST18TRT"
"BEL30-20099Z",1,"Cortina Systems","WBLXT9785EHC.D0"
"BEL30-20099Z",2,"Intel","WBLXT9785EHC.D0"
"BEL30-20099Z",3,"Cortina Systems","WBLXT9785EHC.D0-865110"
"BEL30-20099Z",4,"Cortina Systems","WBLXT9785EHC.D0-865111"
"BEL31-10034Z",1,"Fairchild Semiconductor","74LCX244MTC"
"BEL31-10035Z",1,"Fairchild Semiconductor","74LCX157M"
"BEL31-10036Z",1,"Philips Semiconductors","74LV273PW"
"BEL31-10036Z",2,"NXP Semiconductor","74LV273PW,112"
"BEL31-10037Z",1,"Texas Instruments, Inc.","SN74LVC245APW"
"BEL31-20019Z",1,"Philips Semiconductors","74HCT123D"
"BEL31-20019Z",2,"NXP Semiconductor","74HCT123D,652"
"BEL31-20019Z",3,"Texas Instruments, Inc.","CD74HCT123M"
"BEL31-20056Z",1,"Cypress","CY2305SXC-1"
"BEL31-20056Z",2,"Phaselink","PL123-05HSC"
"BEL31-20056Z",3,"Phaselink","PL123-05HSI"
"BEL31-20065Z",1,"Philips Semiconductors","74HC595D"
"BEL31-20065Z",2,"Fairchild Semiconductor","MM74HC595M"
"BEL31-20065Z",3,"Fairchild Semiconductor","MM74HC595MX"
"BEL31-20065Z",4,"Texas Instruments, Inc.","SN74HC595D"
"BEL31-20067Z",1,"Philips Semiconductors","74LVT125D"
"BEL31-20067Z",2,"Fairchild Semiconductor","74LVTH125M"
"BEL31-20067Z",3,"Texas Instruments, Inc.","SN74LVT125D"
"BEL31-20069Z",1,"Cypress","CY2308SXC-1"
"BEL35-20012Z",1,"Integrated Silicon Solution, Inc.","IS42S16800E-75ETLI"
"BEL35-20012Z",2,"Integrated Silicon Solution, Inc.","IS42S16800E-75ETLI-TR"
"BEL35-20012Z",3,"Micron","MT48LC8M16A2P-6A"
"BEL36-10023Z",1,"AMD","S29AL016D70TFI020"
"BEL36-10023Z",2,"AMD","S29AL016J70TFI020"
"BEL58-10028Z",1,"Central Technologies","CTCB0603F-121H"
"BEL58-10028Z",2,"TDK","MMZ1608S121A"
"BEL58-10030Z",1,"Coiltronics","FP3-4R7-R"
"BEL58-10031Z",1,"TOKO","#A920CY-2R0M=P3"
"BEL58-10031Z",2,"Central Technologies","CT920CYF-2R0N"
"BEL58-10031Z",3,"Renco Electronics","RL-7485-1-2ROM"
"BEL58-10062Z",1,"MURATA","BLM18BA050SN1D"
"BEL60-20032Z",1,"Unicom Electronic Corporation","4HT48-67PNL"
"BEL60-20032Z",2,"Halo Electronics","TG110-RP04NV6RL"
"BEL60-20032Z",3,"XFMRS","XFVOIP-05Q"
"BEL63-00111Z",1,"Molex","26-60-5020"
"BEL63-00112Z",1,"Molex","26-60-5060"
"BEL63-10036Z",1,"Amphenol","RJHSE-5385-04"
"BEL63-10036Z",2,"Xmultiple","XRJM-S-04-8-8-5-C"
"BEL63-10100Z",1,"Adam Technologies, Inc.","ICS-3-08-T"
"BEL63-10203Z",1,"Xmultiple","XRJS-S-01-8-8-0"
"BEL63-10204Z",1,"Tyco Electronics","5-1775333-0"
"BEL63-10204Z",2,"Join Tek","DTF53-250-H112A"
"BEL63-20010Z",1,"Tyco Electronics","5179031-4"
"BEL63-20011Z",1,"Tyco Electronics","5179031-2"
"BEL63-20012Z",1,"Tyco Electronics","822516-7"
"BEL63-20012Z",2,"Adam Technologies, Inc.","PLCC-32-AT-SMT"
"BEL65-10012Z",1,"Tyco Electronics","RUEF185"
"BEL66-10047Z",1,"Abracon Corp","ASV-50.000MHz-L-C-S"
"BEL66-10047Z",2,"ECS Inc.","ECS-3953M-500-BN"
"BEL66-10047Z",3,"Taitien Corp","OCETGLJNF-50.000MHZ"
"BEL66-10047Z",4,"Suntsu","SOCB348T-50.000MHzTR"
"BEL66-10049Z",1,"Abracon Corp","ASV-66.000MHz-L-C-S"
"BEL66-10049Z",2,"Abracon Corp","ASV-66.000Mhz-LCS"
"BEL66-10049Z",3,"Taitien Corp","OCETGLJTNF-66.0MHZ"
"BEL66-10049Z",4,"Suntsu","SOCB348T-66.000MHzTR"
"BEL66-10050Z",1,"Abracon Corp","ASV-83.000MHz-L-C-S"
"BEL66-10050Z",2,"Abracon Corp","ASV-83.000Mhz-LCS"
"BEL66-10050Z",3,"Taitien Corp","OCETGLJTNF-83.0MHZ"
"BEL66-10050Z",4,"Suntsu","SOCB348T-83.000MHzTR"
"BEL66-10057Z",1,"Abracon Corp","AB26TRB-32.768KHz-T"
"BEL66-10057Z",2,"Citizen","CMR200T-32.768KDZF-UT"
"BEL66-10057Z",3,"Jauch","Q0.032768-SM26F-12.5-20-T1-LF"
"BEL66-10057Z",4,"Suntsu","SCT2G48-32.768kHzTR"
"BEL36-10012Z",1,"Microchip","93LC86C-I/P"
"BEL36-10012Z",2,"ON Semiconductor Corporation","CAT93C86LI-G"
"BEL36-10012Z",3,"ST Microelectronics","M93C86-WBN6P"
"BEL36-20019Z",1,"Atmel","ATF16LV8C-10JU"
"BEL30-10072Z",1,"FreeScale Semiconductor","MPC8245LVV266D"
"BEL63-00108Z",1,"Phoenix Contact","1842937"
"BEL15-10038Z",1,"Panasonic Corp.","EEU-FC2A220"
"BEL15-10038Z",2,"NIC Components Corp.","NRWA220M100V8x11.5F"
"BEL15-10099Z",1,"MURATA","DE1E3KX102MA4BL01"
"BEL15-10099Z",2,"MURATA","DE1E3KX102MA5BA01"
"BEL58-10022Z",1,"Tamura Corp Of America","CMT-01104"
"BEL65-10026Z",1,"Tyco Electronics","LVR040S"
"BEL65-10014Z",1,"Littelfuse, Inc.","V320LA20AP"
